DATABASE	FORMULA	CHARGE
cpd03974_c0	C16H21N4O9S	-1
cpd03975_c0	C15H19N4O8S	-1
cpd03976_c0	C15H19N4O9S	-1
cpd03977_c0	C22H23N2O8	-1
cpd03978_c0	C22H22N2O8Cl	-1
cpd03979_c0	C47H75NO17	0
cpd03980_c0	C47H73NO17	0
cpd03981_c0	C16H18N3O4S	-1
cpd03982_c0	C10H14	0
cpd03983_c0	C10H14O	0
cpd03984_c0	C10H12O	0
cpd03985_c0	C10H11O2	-1
cpd03986_c0	C10H13O4	-1
cpd03987_c0	C10H11O4	-1
cpd03988_c0	C10H10O6	-2
cpd03989_c0	C9H11O4	-1
cpd03990_c0	C12H9Cl	0
cpd03991_c0	C12H11O2Cl	0
cpd03992_c0	C12H9O2Cl	0
cpd03993_c0	C12H8O4Cl	-1
cpd03994_c0	C12H10	0
cpd03995_c0	C12H12O2	0
cpd03996_c0	C12H22NO14P2R	-2
cpd03997_c0	C6H11NO	0
cpd03998_c0	C6H3Cl3	0
cpd03999_c0	C6H6Cl6	0
cpd04000_c0	C6H5Cl5	0
cpd04001_c0	C6H4Cl4	0
cpd04002_c0	C6H5OCl3	0
cpd04003_c0	C6H6O2Cl2	0
cpd04004_c0	C6H4O2Cl2	0
cpd04005_c0	C6H5O2Cl	0
cpd04006_c0	C6H4OCl2	0
cpd04007_c0	C6H5O4	-1
cpd04008_c0	C10H14NO5PS	0
cpd04009_c0	C10H16NO3PS	0
cpd04010_c0	C10H14NO6P	0
cpd04011_c0	C4H10O3PS	-1
cpd04012_c0	C4H10O4P	-1
cpd04013_c0	C3H4Cl2	0
cpd04014_c0	C3H4Cl2	0
cpd04015_c0	C3H5OCl	0
cpd04016_c0	C3H5OCl	0
cpd04017_c0	C3H3OCl	0
cpd04018_c0	C3H2O2Cl	-1
cpd04019_c0	C3H2O2Cl	-1
cpd04020_c0	C36H66NO13	1
cpd04021_c0	C16H22N2O15P2	-2
cpd04022_c0	C16H22N2O14P2	-2
cpd04023_c0	C16H26N3O13P2	-1
cpd04024_c0	C16H20N2O14P2	-2
cpd04025_c0	C16H22N2O14P2	-2
cpd04026_c0	C16H22N2O14P2	-2
cpd04027_c0	C17H24N2O14P2	-2
cpd04028_c0	C22H23N2O9	-1
cpd04029_c0	C24H36N8O18P3S	-3
cpd04030_c0	C20H13NO8Cl	-1
cpd04031_c0	C20H14NO8	-1
cpd04032_c0	C20H15NO7	0
cpd04033_c0	C20H15NO6	0
cpd04034_c0	C28H50O10	0
cpd04035_c0	C17H26N2O14P2	-2
cpd04036_c0	C18H30N3O13P2	-1
cpd04037_c0	C36H66NO12	1
cpd04038_c0	C37H66NO14	1
cpd04039_c0	C21H38O7	0
cpd04040_c0	C14H10Cl4	0
cpd04041_c0	C14H9Cl3	0
cpd04042_c0	C14H11Cl3	0
cpd04043_c0	C14H12OCl2	0
cpd04044_c0	C14H9O2Cl2	-1
cpd04045_c0	C13H10Cl2	0
cpd04046_c0	C14H10Cl2	0
cpd04047_c0	C13H8OCl2	0
cpd04048_c0	C14H8O2Cl4	0
cpd04049_c0	C14H7O4Cl4	-1
cpd04050_c0	C9H4O2Cl3	-1
cpd04051_c0	C8H7OCl	0
cpd04052_c0	C7H5OCl	0
cpd04053_c0	C14H11O2Cl5	0
cpd04054_c0	C14H9O2Cl5	0
cpd04055_c0	C14H8O4Cl5	-1
cpd04056_c0	C37H68NO12	1
cpd04057_c0	C20H18N2O7	0
cpd04058_c0	C9H18N4O4	0
cpd04059_c0	C9H16N4O3	0
cpd04060_c0	C9H16N4O4	0
cpd04061_c0	C8H14N2O4	0
cpd04062_c0	C8H12N2O4	0
cpd04063_c0	C8H10N2O4	0
cpd04064_c0	C8H6NO5	-1
cpd04065_c0	C8H8NO5	-1
cpd04066_c0	C11H16N2O4S	0
cpd04067_c0	C12H17N3O4S	0
cpd04068_c0	C16H21N4O9	-1
cpd04069_c0	C14H23N3O6	0
cpd04070_c0	C7H6NO3	-1
cpd04071_c0	C7H3O2Cl2	-1
cpd04072_c0	C28H35N7O17P3SCl2	-3
cpd04073_c0	C8H7O4	-1
cpd04074_c0	C13H8N2O5S	-2
cpd04075_c0	C6H5O5S	-1
cpd04076_c0	C6H3O7S	-3
cpd04077_c0	C6H4O7S	-2
cpd04078_c0	C7H7O3S	-1
cpd04079_c0	C7H7O4S	-1
cpd04080_c0	C7H5O4S	-1
cpd04081_c0	C8H4O5	-2
cpd04082_c0	C15H18N4O5	0
cpd04083_c0	C3H7N2O2	1
cpd04084_c0	C18H17N8O7S3	-1
cpd04085_c0	C54H90N6O18	0
cpd04086_c0	C15H23NO4	0
cpd04087_c0	C17H19O6Cl	0
cpd04088_c0	C16H17N3O3F	-1
cpd04089_c0	C43H57N4O12	-1
cpd04090_c0	C66H76N9O24Cl2	1
cpd04091_c0	C59H84N2O18	0
cpd04092_c0	C32H24O14	-2
cpd04093_c0	C17H24N5O13	-1
cpd04094_c0	C36H61O11	-1
cpd04095_c0	C31H47O6	-1
cpd04096_c0	C3H5NO2	0
cpd04097_c0	Pb	2
cpd04098_c0	H3O3As	0
cpd04099_c0	H2O3P	-1
cpd04100_c0	Ag	1
cpd04101_c0	C13H10O	0
cpd04102_c0	C13H8O	0
cpd04103_c0	C28H42N7O20P3S	-4
cpd04104_c0	C28H40N7O20P3S	-4
cpd04105_c0	C17H30N2O12S	0
cpd04106_c0	C18H30N2O13S	0
cpd04107_c0	C6H8O3	0
cpd04108_c0	C8H9O4	-1
cpd04109_c0	C12H10O2S	0
cpd04110_c0	C12H8O2S	0
cpd04111_c0	C28H40N7O19P3S	-4
cpd04112_c0	C10H9NO3	0
cpd04113_c0	C10H11NO3	0
cpd04114_c0	C8H12O2	0
cpd04115_c0	C8H10O2	0
cpd04116_c0	C8H9O4	-1
cpd04117_c0	C7H8O2	0
cpd04118_c0	C8H9O4	-1
cpd04119_c0	C11H9N2O2	-1
cpd04120_c0	C30H42O	0
cpd04121_c0	C22H30O	0
cpd04122_c0	C2H6NO	1
cpd04123_c0	C35H57N7O17P3S	-3
cpd04124_c0	C35H57N7O17P3S	-3
cpd04125_c0	C9H7O3	-1
cpd04126_c0	C12H9O3S	-1
cpd04127_c0	C10H13NO	0
cpd04128_c0	C7H7O2SF	0
cpd04129_c0	C3H10N	1
cpd04130_c0	C28H41N7O18P3S	-3
cpd04131_c0	C8H15NO2S	0
cpd04132_c0	C2H4Cl2	0
cpd04133_c0	C2H5OCl	0
cpd04134_c0	C2H3OCl	0
cpd04135_c0	C2H2O2Cl	-1
cpd04136_c0	C8H10	0
cpd04137_c0	C8H10O	0
cpd04138_c0	C8H8O	0
cpd04139_c0	C7H7O4	-1
cpd04140_c0	C6H7O3	-1
cpd04141_c0	C6H9O4	-1
cpd04142_c0	C6H13NO5	0
cpd04143_c0	C44H72O12	0
cpd04144_c0	C69H104N4O35P	-3
cpd04145_c0	C34H30FeN4O4Cl	0
cpd04146_c0	C35H39N5O11	0
cpd04147_c0	C62H86N12O16	0
cpd04148_c0	C6H16NO3	1
cpd04149_c0	C4H12NO2	1
cpd04150_c0	C24H15O11	-1
cpd04151_c0	C25H17O11	-1
cpd04152_c0	C24H15O10	-1
cpd04153_c0	C27H20NO11	-1
cpd04154_c0	C28H22NO11	-1
cpd04155_c0	C27H20NO12	-1
cpd04156_c0	C28H22NO12	-1
cpd04157_c0	C28H22NO12	-1
cpd04158_c0	C29H24NO12	-1
cpd04159_c0	C40H44N2O19	0
cpd04160_c0	C35H36N2O14	0
cpd04161_c0	C40H44N2O18	0
cpd04162_c0	C34H34N2O14	0
cpd04163_c0	C39H42N2O18	0
cpd04164_c0	C34H32NO15	-1
cpd04165_c0	C39H40NO19	-1
cpd04166_c0	C2Cl4	0
cpd04167_c0	C2HCl3	0
cpd04168_c0	C2H2Cl2	0
cpd04169_c0	C2H2Cl2	0
cpd04170_c0	C2H3Cl	0
cpd04171_c0	C22H20O10	0
cpd04172_c0	C17H12O6	0
cpd04173_c0	C23H20O11	0
cpd04174_c0	C25H44NO18	1
cpd04175_c0	C18H29N2O4	1
cpd04176_c0	C8H9NO2	0
cpd04177_c0	C4H6N4O3S2	0
cpd04178_c0	C15H19N2O4S	-1
cpd04179_c0	C23H29N3O2S	0
cpd04180_c0	C2H5NO2	0
cpd04181_c0	C5H8NO3S	-1
cpd04182_c0	C8H11N5O3	0
cpd04183_c0	C18H34N2O6S	0
cpd04184_c0	C6H5NO2	0
cpd04185_c0	C5H10O8P	-1
cpd04186_c0	C17H13N4Cl	0
cpd04187_c0	C10H18N	1
cpd04188_c0	C5H15N2O3PS	0
cpd04189_c0	C22H47N5O13	4
cpd04190_c0	C6H8N7OCl	0
cpd04191_c0	C25H30NO3I2	1
cpd04192_c0	C20H24N	1
cpd04193_c0	C20H26N2O5Cl	1
cpd04194_c0	C16H18N3O5S	-1
cpd04195_c0	Br	-1
cpd04196_c0	C14H10O3	0
cpd04197_c0	C28H31N4OF	0
cpd04198_c0	C33H34N2O5F	-1
cpd04199_c0	C38H74N2O12	2
cpd04200_c0	C20H22N5O6S	-1
cpd04201_c0	C13H15N5O8S2	-2
cpd04202_c0	C22H29O5Cl	0
cpd04203_c0	C24H27N2O5	-1
cpd04204_c0	C21H25NO	0
cpd04205_c0	C24H34N2O	0
cpd04206_c0	C18H30NO3	1
cpd04207_c0	C7H17N2O2	1
cpd04208_c0	C18H32NO4	1
cpd04209_c0	C28H32NO5	1
cpd04210_c0	C55H84N17O21S3	1
cpd04211_c0	C11H17NBr	1
cpd04212_c0	C32H40N5O5Br	0
cpd04213_c0	C16H20N2Br	1
cpd04214_c0	C13H19NOCl	1
cpd04215_c0	C21H31N5O2	0
cpd04216_c0	C21H29NO2	0
cpd04217_c0	C145H243N44O48S2	3
cpd04218_c0	C18H27NO3	0
cpd04219_c0	C15H12N2O	0
cpd04220_c0	C17H16N2O6S	-2
cpd04221_c0	C19H23N3O8	-2
cpd04222_c0	C16H20N2OCl	1
cpd04223_c0	C21H35O5	-1
cpd04224_c0	C16H25N2O3	1
cpd04225_c0	C24H27N2O4	1
cpd04226_c0	C6H5NO	0
cpd04227_c0	C15H13N3O4SCl	-1
cpd04228_c0	C16H16N3O5S	-1
cpd04229_c0	C18H17N6O5S2	-1
cpd04230_c0	C13H14N9O4S3	1
cpd04231_c0	C16H13N5O7S2	-2
cpd04232_c0	C18H16N6O8S3	-2
cpd04233_c0	C25H26N9O8S2	-1
cpd04234_c0	C20H20N7O6S2	-1
cpd04235_c0	C16H16N5O7S2	-1
cpd04236_c0	C17H15N7O8S4	-2
cpd04237_c0	C16H16N3O7S2	-1
cpd04238_c0	C18H18N3O5S	-1
cpd04239_c0	C22H21N6O7S2	-1
cpd04240_c0	C13H12N5O5S2	-1
cpd04242_c0	C6H9O6	-1
cpd04244_c0	C16H15N4O8S	-1
cpd04245_c0	C16H16N3O4S	-1
cpd04246_c0	C17H16N3O6S2	-1
cpd04247_c0	C16H18N3O4S	-1
cpd04248_c0	C2H3O2Cl3	0
cpd04249_c0	C22H34N10Cl2	4
cpd04250_c0	C16H20N2Cl	1
cpd04251_c0	C17H20N2SCl	1
cpd04252_c0	C8H12N3O6P	-2
cpd04253_c0	C23H29N3O4ClF	0
cpd04254_c0	H4N2Cl2Pt	3
cpd04255_c0	C38H70NO13	1
cpd04256_c0	C21H26NOCl	0
cpd04257_c0	C18H33N2O5SCl	0
cpd04258_c0	C27H22N4Cl2	0
cpd04259_c0	C12H15O3Cl	0
cpd04260_c0	C26H29NOCl	1
cpd04261_c0	C19H24N2Cl	1
cpd04262_c0	C16H10N2O3Cl	-1
cpd04263_c0	C22H17N2Cl	0
cpd04264_c0	C19H17N3O5SCl	-1
cpd04265_c0	C18H19N4Cl	0
cpd04266_c0	C136H216N40O31S	6
cpd04267_c0	C23H14O11	-2
cpd04268_c0	C18H22N2	0
cpd04269_c0	C20H22N	1
cpd04270_c0	C17H26NO3	1
cpd04271_c0	C21H21N	0
cpd04272_c0	C14H10N4O5	0
cpd04273_c0	C25H49N6O8	1
cpd04274_c0	C22H28N6O3S	0
cpd04275_c0	C21H20N2O8Cl	-1
cpd04276_c0	C18H23N2	1
cpd04277_c0	C46H65N14O12S2	1
cpd04278_c0	C16H20N2Cl	1
cpd04279_c0	C18H25NO	0
cpd04280_c0	C16H13N2OCl	0
cpd04281_c0	C8H7N2O2SCl	0
cpd04282_c0	C19H16N3O5SCl2	-1
cpd04283_c0	C19H36NO2	1
cpd04284_c0	C10H12N4O3	0
cpd04285_c0	C13H20NO	1
cpd04286_c0	C41H64O13	0
cpd04287_c0	C41H64O14	0
cpd04288_c0	C28H46O	0
cpd04289_c0	C22H27N2O4S	1
cpd04290_c0	C21H27NO	0
cpd04291_c0	C19H30NO5	1
cpd04292_c0	C21H30N3O	1
cpd04293_c0	C18H24NO3	1
cpd04294_c0	C10H17N2O4S3	1
cpd04295_c0	C23H26N5O5	1
cpd04296_c0	C19H22NO	1
cpd04297_c0	C21H30O2	0
cpd04298_c0	C22H23N2O8	-1
cpd04299_c0	C9H23NO3PS	1
cpd04300_c0	C10H16NO	1
cpd04301_c0	C20H27N2O5	-1
cpd04302_c0	C22H28N2O2	0
cpd04303_c0	C15H16N4O3F	-1
cpd04304_c0	C16H26NO4	1
cpd04305_c0	C10H25N2O2	1
cpd04306_c0	C11H8O4	0
cpd04307_c0	C6H6Cl6	0
cpd04308_c0	C6H6Cl4	0
cpd04309_c0	C6H5Cl	0
cpd04310_c0	C12H17NF3	1
cpd04311_c0	C15H13O3	-1
cpd04312_c0	C32H38NO4	-1
cpd04313_c0	C17H20N2O3F6	0
cpd04314_c0	C21H29O5F	0
cpd04315_c0	C24H31O6F	0
cpd04316_c0	C21H26O6F2	0
cpd04317_c0	C22H26N3OSF3	0
cpd04318_c0	C24H25NO4F	-1
cpd04319_c0	C30H45NO7P	-1
cpd04320_c0	C23H27N3O5SCl	-1
cpd04321_c0	C18H24N4O	0
cpd04322_c0	C10H11N5O13P3	-3
cpd04323_c0	C10H11N5O7P	-1
cpd04324_c0	C10H15N6O6P	0
cpd04325_c0	C19H24N7O8P	0
cpd04326_c0	C21H25N7O9P	-1
cpd04327_c0	C22H27N7O9P	-1
cpd04328_c0	C23H29N7O9P	-1
cpd04329_c0	C23H29N7O6	0
cpd04330_c0	C24H31N7O6	0
cpd04331_c0	C8H9N4Cl2	1
cpd04332_c0	C10H20N3O2	1
cpd04333_c0	C10H23N4	1
cpd04334_c0	C9H9N3OCl2	0
cpd04335_c0	C8H8N4	0
cpd04336_c0	C17H19NO3	0
cpd04337_c0	C18H28N3OCl	2
cpd04338_c0	CH4N2O2	0
cpd04339_c0	C21H27N2O2Cl	0
cpd04340_c0	C19H25N2	1
cpd04341_c0	C36H47N5O4	0
cpd04342_c0	C20H30NO3	1
cpd04343_c0	C13H22NO3	1
cpd04344_c0	C6H7N3O	0
cpd04345_c0	C23H33N2O	1
cpd04346_c0	C11H18NO3	1
cpd04347_c0	C15H12NO3	-1
cpd04348_c0	C19H25N2O3	1
cpd04349_c0	C12H22O11	0
cpd04350_c0	C8H11N3O3S	0
cpd04351_c0	C19H25NO	0
cpd04352_c0	C11H12N2S	0
cpd04353_c0	C22H23N6OCl	0
cpd04354_c0	C24H36O5	0
cpd04355_c0	C6H6Cl6	0
cpd04356_c0	C17H18N3O3F2	-1
cpd04357_c0	C29H33N2O2Cl	0
cpd04358_c0	C8H8	0
cpd04359_c0	C8H10O2	0
cpd04360_c0	C8H8O2	0
cpd04362_c0	C8H7O4	-1
cpd04363_c0	C8H6O3Cl	-1
cpd04364_c0	C6H4O4Cl	-1
cpd04365_c0	C5H4O2	0
cpd04366_c0	C5H5O3	-1
cpd04367_c0	C6H4Cl2	0
cpd04368_c0	C6H6O2Cl2	0
cpd04369_c0	C6H4O2Cl2	0
cpd04370_c0	C6H2O4Cl2	-2
cpd04371_c0	C6H3OCl2	-1
cpd04372_c0	C6H3O2Cl2	-1
cpd04373_c0	C6H2OCl3	-1
cpd04374_c0	C6H2O2Cl3	-1
cpd04375_c0	C8H4O3Cl3	-1
cpd04376_c0	C6H3OCl3	0
cpd04377_c0	C6H5O3Cl	0
cpd04378_c0	C6H3O3	-1
cpd04379_c0	C18H18N3OCl	0
cpd04380_c0	C7H11N2O2S	1
cpd04381_c0	C20H24N	1
cpd04382_c0	C26H30NO	1
cpd04383_c0	C8H10	0
cpd04384_c0	C8H10O	0
cpd04385_c0	C8H8O	0
cpd04386_c0	C9H7O3	-1
cpd04387_c0	C5H11NCl2	0
cpd04388_c0	C25H27N2Cl	0
cpd04389_c0	C14H10NO2Cl2	-1
cpd04390_c0	C30H39N7O18P3S	-3
cpd04391_c0	C22H32O3	0
cpd04392_c0	C22H30O3	0
cpd04393_c0	C8H9O4	-1
cpd04394_c0	C20H29N2O5S	1
cpd04395_c0	C11H10O2	0
cpd04396_c0	C19H26N5O4	1
cpd04397_c0	C15H21NO2	0
cpd04398_c0	C12H20NO3	1
cpd04399_c0	C7H8N4O2	0
cpd04400_c0	C22H29N3S2	0
cpd04401_c0	C15H14N2O6S2	-2
cpd04402_c0	C14H14NSCl	0
cpd04403_c0	C13H25N4O3S	1
cpd04404_c0	C11H17N2O	1
cpd04405_c0	C21H26N2OS2	0
cpd04406_c0	C11H18NO3	1
cpd04407_c0	C9H14NO2	1
cpd04408_c0	C10H13N2	1
cpd04409_c0	C12H17N2O3S	-1
cpd04410_c0	C15H14NO3	-1
cpd04411_c0	C4H13N5	2
cpd04412_c0	C16H26NO2	1
cpd04413_c0	C9H12N	1
cpd04414_c0	C19H22N5OCl	0
cpd04415_c0	C10H13O3	-1
cpd04416_c0	C31H45N7O18P3S	-3
cpd04417_c0	C21H28NO	1
cpd04418_c0	C10H16N	1
cpd04419_c0	C2H3O4PCl3	-1
cpd04420_c0	C6H20N4	2
cpd04421_c0	C21H24N3SF3	0
cpd04422_c0	C20H31NO	0
cpd04423_c0	C18H23N2S	1
cpd04424_c0	C22H25N2OS	1
cpd04425_c0	C18H20N2S	0
cpd04426_c0	C17H19N2O6S	-1
cpd04427_c0	C21H29N2O5	1
cpd04428_c0	C16H22N3	1
cpd04429_c0	C4H12NO3	1
cpd04430_c0	C13H20N6O4	0
cpd04431_c0	C17H28NO2	1
cpd04432_c0	C27H39N2O4	1
cpd04433_c0	C8H8O2	0
cpd04434_c0	C19H25N2OS	1
cpd04435_c0	C10H13NO4	0
cpd04436_c0	C10H13N5O4	0
cpd04437_c0	C14H19NO2	0
cpd04438_c0	C20H30O2	0
cpd04439_c0	C21H27N3O2	0
cpd04440_c0	C46H59N4O9	1
cpd04441_c0	C15H26NO3	1
cpd04442_c0	C46H57N4O10	1
cpd04443_c0	C14H14N2O	0
cpd04444_c0	C31H32N3O6S	-1
cpd04445_c0	C9H13N3O3	0
cpd04446_c0	C8H10	0
cpd04447_c0	C8H8O	0
cpd04448_c0	C10H14N5O4	1
cpd04449_c0	C8H7O2	-1
cpd04450_c0	C8H10	0
cpd04451_c0	C8H10O	0
cpd04452_c0	C8H8O	0
cpd04453_c0	C8H7O2	-1
cpd04454_c0	C8H10O	0
cpd04455_c0	C16H22N3O2	1
cpd04456_c0	C19H21N3O	0
cpd04457_c0	C11H18NO	1
cpd04458_c0	C21H24N5O8S2	-1
cpd04459_c0	C29H39N3O3F	1
cpd04460_c0	C12H9N3O	0
cpd04461_c0	C23H26N3O7	-1
cpd04462_c0	C28H27NO4S	0
cpd04463_c0	C16H24N2O2	0
cpd04464_c0	C20H18N6O9S	-2
cpd04465_c0	C46H62N4O11	0
cpd04466_c0	C12H22N	1
cpd04467_c0	C17H22NO3	1
cpd04468_c0	C37H48N6O5S2	0
cpd04469_c0	C25H38NO4	1
cpd04470_c0	C13H18N	1
cpd04471_c0	C17H18NCl2	1
cpd04472_c0	C17H27NCl	1
cpd04473_c0	C21H21N2O5S	-1
cpd04474_c0	C21H27NO4	0
cpd04475_c0	C19H21NO4	0
cpd04476_c0	C20H23NO4	0
cpd04477_c0	C18H26O2	0
cpd04478_c0	C19H15NO7	-2
cpd04479_c0	C25H32N5O2Cl	0
cpd04480_c0	C32H45N3O4S	0
cpd04481_c0	C12H19N2O2	1
cpd04482_c0	C22H30N6O4S	0
cpd04483_c0	C8H24O2Si3	0
cpd04484_c0	C15H14N4O	0
cpd04485_c0	C26H30N3O6	1
cpd04486_c0	C17H18N2O6	0
cpd04487_c0	C21H26N2O7	0
cpd04488_c0	C5FeN6O	0
cpd04489_c0	C12H21N5O2S2	0
cpd04490_c0	C10H16O	0
cpd04491_c0	C4H3NO2	0
cpd04492_c0	C4H5NO2	0
cpd04493_c0	C19H22N	1
cpd04494_c0	C5H7NO2	0
cpd04495_c0	C10H18O2	0
cpd04496_c0	C16H24N2O15P2	-2
cpd04497_c0	C14H25NO11	0
cpd04498_c0	C2H8NO3As	0
cpd04499_c0	C3H3NOS2	0
cpd04500_c0	C11H20O10	0
cpd04501_c0	C8H14O	0
cpd04502_c0	C8H16O	0
cpd04503_c0	C18H29O2	-1
cpd04504_c0	C21H20O6	0
cpd04505_c0	CH4O3As	-1
cpd04506_c0	CH5O2As	0
cpd04507_c0	C37H63N7O17P3S	-3
cpd04508_c0	C40H67N7O18P3S	-3
cpd04509_c0	C8H9NO2	0
cpd04510_c0	C31H43N7O20P3S	-3
cpd04511_c0	C31H43N7O20P3S	-3
cpd04512_c0	C25H33NO11	0
cpd04513_c0	C49H68N10O10S2	2
cpd04514_c0	C25H33NO11	0
cpd04515_c0	C12H21N2O3S	1
cpd04516_c0	C24H32O4S	0
cpd04517_c0	C21H32N2O	0
cpd04518_c0	C10H12N2O4	0
cpd04519_c0	C8H15N3O7	0
cpd04520_c0	C10H10N3O3S	-1
cpd04521_c0	C18H12N4O5S	-2
cpd04522_c0	C23H20N2O3S	0
cpd04523_c0	C11H12N3O3S	-1
cpd04524_c0	C14H22N3O2S	1
cpd04525_c0	C14H11O3S	-1
cpd04526_c0	C18H19N3O4F	-1
cpd04527_c0	C17H20N4S	0
cpd04528_c0	C14H8N2O6	-2
cpd04529_c0	C17H19N3O3S	0
cpd04530_c0	C18H20N3O	1
cpd04531_c0	C6H12O5	0
cpd04532_c0	C6H5NO	0
cpd04533_c0	C5H12O	0
cpd04534_c0	C5H10O	0
cpd04535_c0	C5H8O	0
cpd04536_c0	COS	0
cpd04537_c0	C18H18O4	0
cpd04538_c0	C19H18N3O5S	-1
cpd04539_c0	C4H7NO7P	-1
cpd04540_c0	C17H11N2SClF4	0
cpd04541_c0	C18H31O4	-1
cpd04542_c0	C23H32N3OCl	2
cpd04543_c0	C25H29N2O5	-1
cpd04544_c0	C14H22N3O3	1
cpd04545_c0	C10H12N3O3SCl	0
cpd04546_c0	C41H71N7O18P3S	-3
cpd04547_c0	C20H25N2O3	1
cpd04548_c0	C5H12NO	1
cpd04549_c0	C19H30O3	0
cpd04550_c0	C26H35N7O17P3S2	-3
cpd04551_c0	C26H35N7O18P3S2	-3
cpd04552_c0	C27H25N4O3	1
cpd04553_c0	C11H14O4	0
cpd04554_c0	C18H31O4	-1
cpd04555_c0	C18H33O4	-1
cpd04556_c0	C18H14NO3	-1
cpd04557_c0	C18H29O4	-1
cpd04558_c0	C15H11N2O2Cl	0
cpd04559_c0	C22H32NO3	1
cpd04560_c0	Na	0
cpd04561_c0	C10H16N2O2Br2	0
cpd04562_c0	C16H25N2O	1
cpd04563_c0	C52H76O24	0
cpd04564_c0	C19H17N2OCl	0
cpd04565_c0	C19H24N2O2	0
cpd04566_c0	C19H22N5O4	1
cpd04567_c0	C21H28O5	0
cpd04568_c0	C21H26O5	0
cpd04569_c0	C12H14N2O2	0
cpd04570_c0	C13H18NO4S	-1
cpd04571_c0	C31H48O2S2	0
cpd04572_c0	C13H21N2O2	1
cpd04573_c0	C19H29NO	0
cpd04574_c0	C17H21N2S	1
cpd04575_c0	C21H28NO3	1
cpd04576_c0	C16H27N2O3	1
cpd04577_c0	C20H24N2OS	0
cpd04578_c0	C12H14N4Cl	1
cpd04579_c0	C21H32O3	0
cpd04580_c0	C47H51NO14	0
cpd04581_c0	C3H8NO7P2	-3
cpd04582_c0	C21H25N3O2S	0
cpd04583_c0	C25H29N2O5	-1
cpd04584_c0	C7H9N2O	1
cpd04585_c0	C13H22N3O	1
cpd04586_c0	C12H20N3O	1
cpd04587_c0	C20H24N3SCl	0
cpd04588_c0	C17H21N2S	1
cpd04589_c0	C20H25N2OS	1
cpd04590_c0	C22H30NO2	1
cpd04591_c0	C16H22NO2	1
cpd04592_c0	C19H22N	1
cpd04593_c0	C11H15N2S	1
cpd04594_c0	C9H13N2O2	1
cpd04595_c0	C7H11NO3	0
cpd04596_c0	C26H28N3	1
cpd04597_c0	C22H29O5F	0
cpd04598_c0	C11H13N	0
cpd04599_c0	C19H20NO3F	0
cpd04600_c0	C18H30NO2	1
cpd04601_c0	C10H15N5O3	0
cpd04602_c0	C5H11NO2S	0
cpd04603_c0	C19H26N4O2	2
cpd04604_c0	C19H27NO	0
cpd04605_c0	C11H18N2O3	0
cpd04606_c0	Na	0
cpd04607_c0	C13H18N4O3	0
cpd04608_c0	C19H26N2S	0
cpd04609_c0	C21H26N3OSCl	0
cpd04610_c0	C9H10N2O2	0
cpd04611_c0	C11H11N5	0
cpd04612_c0	C8H13N2	1
cpd04613_c0	C11H15NO	0
cpd04614_c0	C11H15NO	0
cpd04615_c0	C12H12N2O3	0
cpd04616_c0	C18H23NOCl	1
cpd04617_c0	C11H11NO2	0
cpd04618_c0	C10H16N	1
cpd04619_c0	C19H20N2O2	0
cpd04620_c0	C9H14NO2	1
cpd04621_c0	C15H12N2O2	0
cpd04622_c0	C14H21N2O2	1
cpd04623_c0	C6H4NO2	-1
cpd04624_c0	C2H6N2O	0
cpd04625_c0	C9H16N4S	0
cpd04626_c0	C9H16N4S2	0
cpd04627_c0	C13H16N2	0
cpd04628_c0	C9H13N5OCl	1
cpd04629_c0	C9H9N5SCl	1
cpd04630_c0	C9H14NO2	1
cpd04631_c0	C6H12N5	1
cpd04632_c0	C3H5N3O9	0
cpd04633_c0	C6H8N2O8	0
cpd04634_c0	C5H11NO2	0
cpd04635_c0	C6H8N2O2S	0
cpd04636_c0	C6H6N2O4S2Cl2	0
cpd04637_c0	C6H8N3O4S2Cl	0
cpd04638_c0	C7H6N3O4S2Cl	0
cpd04639_c0	C32H41NO2	0
cpd04640_c0	C22H22N3O3F	0
cpd04641_c0	C33H50N4O6S	0
cpd04642_c0	C35H57N6O6	1
cpd04643_c0	C23H22N2O4S	-2
cpd04644_c0	C24H19N6O3	-1
cpd04645_c0	C25H28N6O	0
cpd04647_c0	C8H18NO2	1
cpd04648_c0	C9H20NO2	1
cpd04649_c0	C11H16N2O2	0
cpd04650_c0	C22H27NO2	0
cpd04651_c0	C7H6O5	-2
cpd04652_c0	C7H6O5	-2
cpd04653_c0	C7H8N4O2	0
cpd04654_c0	C8H10N4O2	0
cpd04655_c0	C35H35NO3SCl	-1
cpd04656_c0	C17H15N5O	0
cpd04657_c0	C12H18N2O	0
cpd04658_c0	C15H11N2OCl	0
cpd04659_c0	I	-1
cpd04660_c0	C13H15NO2	0
cpd04661_c0	C2H3OCl3	0
cpd04662_c0	C12H11NO2	0
cpd04663_c0	C15H12N2O2	0
cpd04664_c0	C15H14N2O2	0
cpd04665_c0	C7H16O2PF	0
cpd04666_c0	C15H14N2O3	0
cpd04667_c0	C15H12N2O2	0
cpd04668_c0	C10H19O6PS2	0
cpd04669_c0	C10H19O7PS	0
cpd04670_c0	C11H14N2O2	0
cpd04671_c0	C6H11NO2	0
cpd04672_c0	C11H14N2O4	0
cpd04673_c0	C12H21NO8S	0
cpd04674_c0	C20H24NO2S2	-1
cpd04675_c0	C8H8N2O3S	0
