DATABASE	FORMULA	CHARGE
cpd00164_c0	C6H9O7	-1
cpd00165_c0	H3NO	0
cpd00166_c0	C72H101CoN18O17P	1
cpd00167_c0	C19H36NO3R	0
cpd00168_c0	C7H5O4	-1
cpd00169_c0	C3H5O7P	-2
cpd00170_c0	C6H10O6	0
cpd00171_c0	C5H10O8P	-1
cpd00172_c0	C14H14N2O4S	0
cpd00173_c0	C5H9O13P3R	-3
cpd00174_c0	C6H14O3PF	0
cpd00175_c0	C17H25N3O17P2	-2
cpd00176_c0	C6H9O6	-1
cpd00177_c0	C10H13N5O9P2	-2
cpd00178_c0	C3H6O	0
cpd00179_c0	C12H22O11	0
cpd00180_c0	C2O4	-2
cpd00181_c0	C53H81CoN11O15P	2
cpd00182_c0	C10H13N5O4	0
cpd00183_c0	C3H7NO2	0
cpd00184_c0	C10H14N2O5	0
cpd00185_c0	C5H10O5	0
cpd00186_c0	C5H8NO4	-1
cpd00187_c0	CH6N	1
cpd00188_c0	C20H31O2	-1
cpd00189_c0	Cl	-1
cpd00190_c0	C6H12O6	0
cpd00191_c0	C3H3O3	-1
cpd00192_c0	C30H39N7O18P3S	-3
cpd00193_c0	C10H12N5O10PS	-2
cpd00194_c0	C12H14N2	2
cpd00195_c0	CH3OR	0
cpd00196_c0	C2H4O5P	-1
cpd00197_c0	C7H5O4	-1
cpd00198_c0	C5H10O8P	-1
cpd00199_c0	C4H5O3	-1
cpd00200_c0	C6H9O3	-1
cpd00201_c0	C20H21N7O7	-2
cpd00202_c0	C5H10O7P2	-2
cpd00203_c0	C3H6O10P2	-2
cpd00204_c0	CHO	1
cpd00205_c0	K	1
cpd00206_c0	C9H13N3O7P	-1
cpd00207_c0	C5H5N5O	0
cpd00208_c0	C12H22O11	0
cpd00209_c0	NO3	-1
cpd00210_c0	C2H7NO3S	0
cpd00211_c0	C4H7O2	-1
cpd00212_c0	C6H12O6	0
cpd00213_c0	C8H15NOS2	0
cpd00214_c0	C16H31O2	-1
cpd00215_c0	C8H9NO3	0
cpd00216_c0	C10H8O6	-2
cpd00217_c0	C12H22O11	0
cpd00218_c0	C6H4NO2	-1
cpd00219_c0	C10H8O6	-2
cpd00220_c0	C17H20N4O6	0
cpd00221_c0	C3H5O3	-1
cpd00222_c0	C6H11O7	-1
cpd00223_c0	C3H5O4	-1
cpd00224_c0	C5H10O5	0
cpd00225_c0	C7H6O	0
cpd00226_c0	C5H4N4O	0
cpd00227_c0	C4H9NO3	0
cpd00228_c0	C4H10O2S2	0
cpd00229_c0	C2H4O2	0
cpd00231_c0	C9H13N5O3	0
